,5.400.C1 room temp,5.400.C1 rcp load,5.400.C1 air load,5.400.C1 occ,5.400.C1 rcp cool load,5.400.C1 rcp heat load,5.400.C1 setpoint,5.416 room temp,5.416 rcp load,5.416 air load,5.416 occ,5.416 rcp cool load,5.416 rcp heat load,5.416 setpoint,5.417 room temp,5.417 rcp load,5.417 air load,5.417 occ,5.417 rcp cool load,5.417 rcp heat load,5.417 setpoint,5.420 room temp,5.420 rcp load,5.420 air load,5.420 occ,5.420 rcp cool load,5.420 rcp heat load,5.420 setpoint,5.425 room temp,5.425 rcp load,5.425 air load,5.425 occ,5.425 rcp cool load,5.425 rcp heat load,5.425 setpoint,5.426 room temp,5.426 rcp load,5.426 air load,5.426 occ,5.426 rcp cool load,5.426 rcp heat load,5.426 setpoint,5.429 room temp,5.429 rcp load,5.429 air load,5.429 occ,5.429 rcp cool load,5.429 rcp heat load,5.429 setpoint,Thermometer,Solar Radiation Sensor,OAT_Smooth,sp_delta,5.400.C1 Heating SP,5.400.C1 Cooling SP,5.416 Heating SP,5.416 Cooling SP,5.417 Heating SP,5.417 Cooling SP,5.420 Heating SP,5.420 Cooling SP,5.425 Heating SP,5.425 Cooling SP,5.426 Heating SP,5.426 Cooling SP,5.429 Heating SP,5.429 Cooling SP
2025-05-17 01:00:00,73.38999176,0.0,-295.6899887480899,0.0,0.0,0.0,79.99999237,74.09999085,0.0,-2.4310900791045302,0.0,0.0,0.0,79.99999237,74.59999085,0.0,-2.6178704878793173,0.0,0.0,0.0,79.99999237,76.8999939,0.0,0.0,0.0,0.0,0.0,79.99999237,72.8299942,0.0,0.0,0.0,0.0,0.0,79.99999237,74.85999298,0.0,0.0,0.0,0.0,0.0,79.99999237,72.08999634,0.0,0.0,0.0,0.0,0.0,79.99999237,68.53999863,0.0,69.90687465937499,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 01:15:00,73.36999512,0.0,-225.75759378389745,0.0,0.0,0.0,79.99999237,73.8999939,0.0,-2.793340587523977,0.0,0.0,0.0,79.99999237,74.59999085,0.0,-1.4911449556325125,0.0,0.0,0.0,79.99999237,76.59999085,0.0,0.0,0.0,0.0,0.0,79.99999237,72.78999329,0.0,0.0,0.0,0.0,0.0,79.99999237,74.87999725,0.0,0.0,0.0,0.0,0.0,79.99999237,72.04999542,0.0,0.0,0.0,0.0,0.0,79.99999237,68.53999863,0.0,69.612124565,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 01:30:00,73.35999298,0.0,-274.3015164311243,0.0,0.0,0.0,79.99999237,73.8999939,0.0,-4.880799522607003,0.0,0.0,0.0,79.99999237,74.3999939,0.0,-2.044217431033605,0.0,0.0,0.0,79.99999237,76.59999085,0.0,0.0,0.0,0.0,0.0,79.99999237,72.76999664,0.0,0.0,0.0,0.0,0.0,79.99999237,74.92999268,0.0,0.0,0.0,0.0,0.0,79.99999237,72.04999542,0.0,0.0,0.0,0.0,0.0,79.99999237,68.53999863,0.0,69.365749505,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 01:45:00,73.3299942,0.0,-273.3187001928808,0.0,0.0,0.0,79.99999237,73.8999939,0.0,-2.0094332292477253,0.0,0.0,0.0,79.99999237,74.49999237,0.0,-2.7408286406519133,0.0,0.0,0.0,79.99999237,76.09999085,0.0,0.0,0.0,0.0,0.0,79.99999237,72.78999329,0.0,0.0,0.0,0.0,0.0,79.99999237,75.01999664,0.0,0.0,0.0,0.0,0.0,79.99999237,72.06999207,0.0,0.0,0.0,0.0,0.0,79.99999237,68.43199959,0.0,69.15987451375,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 02:00:00,73.29999542,0.0,-266.9904752219883,0.0,0.0,0.0,79.99999237,73.99999237,0.0,-1.4668969115275787,0.0,0.0,0.0,79.99999237,74.49999237,0.0,-5.670329734190208,0.0,0.0,0.0,79.99999237,75.3999939,0.0,0.0,0.0,0.0,0.0,79.99999237,72.78999329,0.0,0.0,0.0,0.0,0.0,79.99999237,75.05999756,0.0,0.0,0.0,0.0,0.0,79.99999237,72.02999115,0.0,0.0,0.0,0.0,0.0,79.99999237,68.30600014,0.0,68.97312453125,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 02:15:00,73.28999329,0.0,-261.3153304042859,0.0,0.0,0.0,79.99999237,73.99999237,0.0,-4.3888767238156525,0.0,0.0,0.0,79.99999237,74.3999939,0.0,-6.1922271709758085,0.0,0.0,0.0,79.99999237,75.49999237,0.0,0.0,0.0,0.0,0.0,79.99999237,72.78999329,0.0,0.0,0.0,0.0,0.0,79.99999237,75.12999725,0.0,0.0,0.0,0.0,0.0,79.99999237,72.02999115,0.0,-56.367160615563236,0.0,0.0,0.0,79.99999237,68.30600014,0.0,68.8133745225,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 02:30:00,73.27999115,0.0,-241.08147181779253,0.0,0.0,0.0,79.99999237,73.79999542,0.0,-0.9256390552667122,0.0,0.0,0.0,79.99999237,74.49999237,0.0,-0.2912489497519233,0.0,0.0,0.0,79.99999237,74.8999939,0.0,0.0,0.0,0.0,0.0,79.99999237,72.80999756,0.0,0.0,0.0,0.0,0.0,79.99999237,75.1499939,0.0,0.0,0.0,0.0,0.0,79.99999237,72.04999542,0.0,0.0,0.0,0.0,0.0,79.99999237,68.30600014,0.0,68.68174951375,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 02:45:00,73.27999115,0.0,-265.5231820469019,0.0,0.0,0.0,79.99999237,73.79999542,0.0,-1.9508014025467384,0.0,0.0,0.0,79.99999237,74.29999542,0.0,-4.924428374699766,0.0,0.0,0.0,79.99999237,74.59999085,0.0,0.0,0.0,0.0,0.0,79.99999237,72.78999329,0.0,0.0,0.0,0.0,0.0,79.99999237,75.21999359,0.0,0.0,0.0,0.0,0.0,79.99999237,72.08999634,0.0,0.0,0.0,0.0,0.0,79.99999237,68.08999863,0.0,68.563624385,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 03:00:00,73.23999786,0.0,-264.73938369191234,0.0,0.0,0.0,79.99999237,73.8999939,0.0,-4.002262417617591,0.0,0.0,0.0,79.99999237,74.29999542,0.0,-3.8399627944680272,0.0,0.0,0.0,79.99999237,74.29999542,0.0,0.0,0.0,0.0,0.0,79.99999237,72.78999329,0.0,0.0,0.0,0.0,0.0,79.99999237,75.26999664,0.0,0.0,0.0,0.0,0.0,79.99999237,72.02999115,0.0,0.0,0.0,0.0,0.0,79.99999237,67.98199959,0.0,68.47362425625,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 03:15:00,73.22999573,0.0,-270.17855706629484,0.0,0.0,0.0,79.99999237,73.79999542,0.0,-1.91451328895,0.0,0.0,0.0,79.99999237,74.29999542,0.0,-6.562980312817884,0.0,0.0,0.0,79.99999237,74.19999695,0.0,0.0,0.0,0.0,0.0,79.99999237,72.80999756,0.0,0.0,0.0,0.0,0.0,79.99999237,75.28999329,0.0,0.0,0.0,0.0,0.0,79.99999237,72.01999664,0.0,0.0,0.0,0.0,0.0,79.99999237,67.87400055,0.0,68.411749341875,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 03:30:00,73.22999573,0.0,-268.4964452739832,0.0,0.0,0.0,79.99999237,73.8999939,0.0,-2.2209526523546197,0.0,0.0,0.0,79.99999237,74.29999542,0.0,-1.8418138987502646,0.0,0.0,0.0,79.99999237,74.09999085,0.0,0.0,0.0,0.0,0.0,79.99999237,72.80999756,0.0,-72.26508869945786,0.0,0.0,0.0,79.99999237,75.30999756,0.0,0.0,0.0,0.0,0.0,79.99999237,72.02999115,0.0,0.0,0.0,0.0,0.0,79.99999237,67.87400055,0.0,68.34987442750001,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
